"","cat_pais","ncat_eleccion","ncat_ronda","polar","source_polar"
"186","Panama",2009,1,3.53500008583069,"Mainwaring & Su (2021) - runoff"
"187","Panama",2014,1,4.06599998474121,"Mainwaring & Su (2021) - runoff"
"188","Panama",2019,1,NA,NA
"189","Paraguay",1989,1,NA,NA
"190","Paraguay",1993,1,3.76542472839355,"Mainwaring & Su (2021) - runoff"
"191","Paraguay",1998,1,2.64100003242493,"Mainwaring & Su (2021) - runoff"
"192","Paraguay",2003,1,3.02900004386902,"Mainwaring & Su (2021) - runoff"
"193","Paraguay",2008,1,5.39900016784668,"Mainwaring & Su (2021) - runoff"
"194","Paraguay",2013,1,4.24599981307983,"Mainwaring & Su (2021) - runoff"
"195","Paraguay",2018,1,0.699999988079071,"Mainwaring & Su (2021) - runoff"
"196","Paraguay",2023,1,NA,NA
"197","Peru",1980,1,NA,NA
"198","Peru",1985,1,3.86299991607666,"Mainwaring & Su (2021) - runoff"
"199","Peru",1990,1,3.58800005912781,"Mainwaring & Su (2021) - runoff"
"200","Peru",1990,2,3.58800005912781,"Mainwaring & Su (2021) - runoff"
"201","Peru",1995,1,4.18499994277954,"Mainwaring & Su (2021) - runoff"
"202","Peru",2000,1,NA,NA
"203","Peru",2000,2,NA,NA
"204","Peru",2001,1,1.85300004482269,"Mainwaring & Su (2021) - runoff"
"205","Peru",2001,2,1.85300004482269,"Mainwaring & Su (2021) - runoff"
"206","Peru",2006,1,4.0770001411438,"Mainwaring & Su (2021) - runoff"
"207","Peru",2006,2,4.0770001411438,"Mainwaring & Su (2021) - runoff"
"208","Peru",2011,1,4.80999994277954,"Mainwaring & Su (2021) - runoff"
"209","Peru",2011,2,4.80999994277954,"Mainwaring & Su (2021) - runoff"
"210","Peru",2016,1,3.34999990463257,"Mainwaring & Su (2021) - runoff"
"211","Peru",2016,2,3.34999990463257,"Mainwaring & Su (2021) - runoff"
"212","Peru",2021,1,NA,NA
"213","Peru",2021,2,NA,NA
"214","Republica Dominicana",1978,1,NA,NA
"215","Republica Dominicana",1982,1,NA,NA
"216","Republica Dominicana",1986,1,NA,NA
"217","Republica Dominicana",1990,1,NA,NA
"218","Republica Dominicana",1994,1,NA,NA
"219","Republica Dominicana",1996,1,NA,NA
"220","Republica Dominicana",1996,2,NA,NA
"221","Republica Dominicana",2000,1,NA,NA
"222","Republica Dominicana",2004,1,NA,NA
"223","Republica Dominicana",2008,1,NA,NA
"224","Republica Dominicana",2012,1,NA,NA
"225","Republica Dominicana",2016,1,NA,NA
"226","Republica Dominicana",2020,1,NA,NA
"227","Uruguay",1984,1,NA,NA
"228","Uruguay",1989,1,3.64709162712097,"Mainwaring & Su (2021) - runoff"
"229","Uruguay",1994,1,4.13683652877808,"Mainwaring & Su (2021) - runoff"
"230","Uruguay",1999,1,4.34700155258179,"Mainwaring & Su (2021) - runoff"
"231","Uruguay",1999,2,4.34700155258179,"Mainwaring & Su (2021) - runoff"
"232","Uruguay",2004,1,3.92389583587646,"Mainwaring & Su (2021) - runoff"
"233","Uruguay",2009,1,4.26934623718262,"Mainwaring & Su (2021) - runoff"
"234","Uruguay",2009,2,4.26934623718262,"Mainwaring & Su (2021) - runoff"
