"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","v2pashname","v2pariglef_vdem","source_v2pariglef","v2paactcom_vdem","source_v2paactcom"
"183","Peru",2021,1,"Alberto Beingolea",NA,NA,NA,NA,NA
"184","Peru",2021,1,"Hernando de Soto",NA,NA,NA,NA,NA
"185","Peru",2021,1,"Andres Alcantara",NA,NA,NA,NA,NA
"186","Peru",2021,1,"Ollanta Moises Humala Tasso","PNP",NA,NA,NA,NA
"187","Peru",2021,1,"Pedro Castillo",NA,NA,NA,NA,NA
"188","Peru",2021,1,"Jose Vega",NA,NA,NA,NA,NA
"189","Peru",2021,1,"Julio Guzman",NA,NA,NA,NA,NA
"190","Peru",2021,1,"Rafael Santos",NA,NA,NA,NA,NA
"191","Peru",2021,1,"Ciro Galvez",NA,NA,NA,NA,NA
"192","Peru",2021,1,"Rafael Lopez Aliaga",NA,NA,NA,NA,NA
"193","Peru",2021,1,"Daniel Salaverry","SP",NA,NA,NA,NA
"194","Peru",2021,2,"Keiko Fujimori Higuchi","FP",2.022,"Proyectado. Ultimo valor disponible V-DEM",0.045,"Proyectado. Ultimo valor disponible V-DEM"
"195","Peru",2021,2,"Pedro Castillo",NA,NA,NA,NA,NA
"196","Paraguay",2003,1,"Nicanor Duarte Frutos","ANR-PC",0.551,"VDEM",1.392,"VDEM"
"197","Paraguay",2003,1,"Julio Cesar Franco","PLRA",1.944,"VDEM",0.602,"VDEM"
"198","Paraguay",2003,1,"Pedro Fadul","PPQ",2.324,"VDEM",-0.9,"VDEM"
"199","Paraguay",2003,1,"Guillermo Sanchez Guffanti","UNACE",3.686,"VDEM",-0.434,"VDEM"
"200","Paraguay",2003,1,"Diego Abente","PEN",NA,NA,NA,NA
"201","Paraguay",2008,1,"Lino Oviedo","UNACE",3.686,"VDEM",-0.434,"VDEM"
"202","Paraguay",2008,1,"Blanca Ovelar","ANR-PC",1.244,"VDEM",1.392,"VDEM"
"203","Paraguay",2008,1,"Pedro Fadul","PPQ",2.324,"VDEM",-0.9,"VDEM"
"204","Paraguay",2008,1,"Fernando Lugo",NA,NA,NA,NA,NA
"205","Paraguay",2013,1,"Horacio Cartes","ANR-PC",1.655,"VDEM",1.392,"VDEM"
"206","Paraguay",2013,1,"Efrain Alegre","PLRA",1.988,"VDEM",0.602,"VDEM"
"207","Paraguay",2013,1,"Miguel Carrizosa","PPQ",2.324,"Proyectado. Ultimo valor disponible V-DEM",-0.9,"Proyectado. Ultimo valor disponible V-DEM"
"208","Paraguay",2013,1,"Mario Ferreiro",NA,NA,NA,NA,NA
"209","Paraguay",2013,1,"Lino Oviedo","UNACE",3.695,"VDEM",-0.434,"VDEM"
"210","Paraguay",2013,1,"Anibal Carrillo","GF",-0.175,"VDEM",-0.221,"VDEM"
"211","Paraguay",2018,1,"Efrain Alegre","GANAR",1.128,"VDEM",-0.012,"VDEM"
"212","Paraguay",2018,1,"Mario Abdo Benitez","ANR-PC",1.655,"VDEM",1.392,"VDEM"
"213","Paraguay",2023,1,"Paraguayo Cubas",NA,NA,NA,NA,NA
"214","Paraguay",2023,1,"Euclides Acevedo",NA,NA,NA,NA,NA
"215","Paraguay",2023,1,"Jorge Gomez Otano","UNACE",3.695,"Proyectado. Ultimo valor disponible V-DEM",-0.434,"Proyectado. Ultimo valor disponible V-DEM"
"216","Paraguay",2023,1,"Luis Talavera",NA,NA,NA,NA,NA
"217","Paraguay",2023,1,"Alfredo Luis Machuca Doldan",NA,NA,NA,NA,NA
"218","Ecuador",1979,1,"Jaime Roldos","CFP",-0.915,"VDEM",0.023,"VDEM"
"219","Ecuador",1979,1,"Sixto Duran Ballen","PSC",2.255,"VDEM",0.172,"VDEM"
"220","Ecuador",1979,1,"Raul Clemente Huerta",NA,NA,NA,NA,NA
"221","Ecuador",1979,1,"Rodrigo Borja","ID",-0.883,"VDEM",0.493,"VDEM"
"222","Ecuador",1979,1,"Abdon Calderon","FRA",NA,NA,NA,NA
"223","Ecuador",1979,1,"Rene Mauge",NA,NA,NA,NA,NA
"224","Ecuador",1979,2,"Sixto Duran Ballen","PSC",2.255,"VDEM",0.172,"VDEM"
"225","Ecuador",1979,2,"Jaime Roldos","CFP",-0.915,"VDEM",0.023,"VDEM"
"226","Ecuador",1984,2,"Rodrigo Borja","ID",-0.883,"VDEM",0.556,"VDEM"
"227","Ecuador",1984,2,"Leon Febres Cordero","PSC",2.255,"VDEM",0.636,"VDEM"
"228","Ecuador",2006,1,"Rafael Correa","PAIS",NA,NA,NA,NA
"229","Ecuador",2006,1,"Cynthia Viteri","PSC",2.253,"VDEM",0.397,"VDEM"
"230","Ecuador",2006,1,"Leon Roldos","ID",-0.532,"VDEM",-0.904,"VDEM"
"231","Ecuador",2006,1,"Fernando Rosero","PRE",-0.148,"VDEM",-0.808,"VDEM"
"232","Ecuador",2006,1,"Alvaro Noboa","PRIAN",1.591,"VDEM",-0.734,"VDEM"
"233","Ecuador",2013,1,"Lucio Gutierrez","PSP",-0.017,"VDEM",-1.098,"VDEM"
"234","Ecuador",2013,1,"Alvaro Noboa","PRIAN",1.591,"Proyectado. Ultimo valor disponible V-DEM",-1.706,"Proyectado. Ultimo valor disponible V-DEM"
"235","Ecuador",2013,1,"Nelson Zavala","PRE",-0.13,"Proyectado. Ultimo valor disponible V-DEM",-0.801,"Proyectado. Ultimo valor disponible V-DEM"
"236","Ecuador",2013,1,"Guillermo Lasso","CREO",1.501,"VDEM",-0.467,"VDEM"
"237","Ecuador",2013,1,"Mauricio Rodas",NA,NA,NA,NA,NA
"238","Ecuador",2013,1,"Norman Wray",NA,NA,NA,NA,NA
"239","Ecuador",2017,1,"Abdala Bucaram",NA,NA,NA,NA,NA
"240","Ecuador",2017,1,"Guillermo Lasso","CREO",1.501,"VDEM",-0.467,"VDEM"
"241","Ecuador",2017,1,"Washington Pesantes","UE",NA,NA,NA,NA
"242","Ecuador",2017,1,"Patricio Zuquilanda","PSP",-0.017,"Proyectado. Ultimo valor disponible V-DEM",-1.098,"Proyectado. Ultimo valor disponible V-DEM"
"243","Ecuador",2017,1,"Ivan Espinel",NA,NA,NA,NA,NA
"244","Ecuador",2017,1,"Paco Moncayo","ID",-0.532,"Proyectado. Ultimo valor disponible V-DEM",-0.904,"Proyectado. Ultimo valor disponible V-DEM"
"245","Ecuador",2017,1,"Cynthia Viteri","PSC",2.158,"VDEM",0.268,"VDEM"
"246","Ecuador",2017,1,"Lenin Moreno","PAIS",-1.539,"VDEM",0.865,"VDEM"
"247","Ecuador",2021,1,"Andres Arauz",NA,NA,NA,NA,NA
"248","Ecuador",2021,1,"Yaku Perez","MUPP-NP",-2.175,"Proyectado. Ultimo valor disponible V-DEM",0.493,"Proyectado. Ultimo valor disponible V-DEM"
"249","Ecuador",2021,1,"Isidro Romero","PA",NA,NA,NA,NA
"250","Ecuador",2021,1,"Gustavo Larrea",NA,NA,NA,NA,NA
"251","Ecuador",2021,1,"Carlos Sagnay",NA,NA,NA,NA,NA
"252","Ecuador",2021,1,"Giovanny Andrade","UE",NA,NA,NA,NA
"253","Ecuador",2021,1,"Paul Carrasco",NA,NA,NA,NA,NA
"254","Ecuador",2021,1,"Ximena Pena","PAIS",-1.539,"Proyectado. Ultimo valor disponible V-DEM",0.865,"Proyectado. Ultimo valor disponible V-DEM"
"255","Ecuador",2021,1,"Guillermo Lasso","CREO",1.501,"Proyectado. Ultimo valor disponible V-DEM",-0.467,"Proyectado. Ultimo valor disponible V-DEM"
"256","Ecuador",2021,1,"Guillermo Celi",NA,NA,NA,NA,NA
"257","Ecuador",2021,1,"Lucio Gutierrez",NA,NA,NA,NA,NA
"258","Ecuador",2021,1,"Xavier Hervas","ID",-0.532,"Proyectado. Ultimo valor disponible V-DEM",-0.904,"Proyectado. Ultimo valor disponible V-DEM"
"259","Ecuador",2021,1,"Cesar Montufar",NA,NA,NA,NA,NA
"260","Ecuador",2021,1,"Gerson Almeida",NA,NA,NA,NA,NA
"261","Ecuador",2021,1,"Juan Fernando Velasco",NA,NA,NA,NA,NA
"262","Ecuador",2021,1,"Pedro Freile",NA,NA,NA,NA,NA
"263","Ecuador",2021,2,"Andres Arauz",NA,NA,NA,NA,NA
"264","Ecuador",2021,2,"Guillermo Lasso","CREO",1.501,"Proyectado. Ultimo valor disponible V-DEM",-0.467,"Proyectado. Ultimo valor disponible V-DEM"
"265","Ecuador",2023,1,"Yaku Perez",NA,NA,NA,NA,NA
"266","Ecuador",2023,1,"Bolivar Armijos",NA,NA,NA,NA,NA
"267","Ecuador",2023,1,"Luisa Gonzalez",NA,NA,NA,NA,NA
"268","Ecuador",2023,1,"Xavier Hervas",NA,NA,NA,NA,NA
"269","Ecuador",2023,1,"Daniel Noboa Azin",NA,NA,NA,NA,NA
"270","Ecuador",2023,1,"Otto Sonnenholzner","PA",NA,NA,NA,NA
"271","Ecuador",2023,1,"Jan Topic","PSC",2.158,"Proyectado. Ultimo valor disponible V-DEM",0.268,"Proyectado. Ultimo valor disponible V-DEM"
"272","Ecuador",2023,2,"Luisa Gonzalez",NA,NA,NA,NA,NA
"273","Ecuador",2023,2,"Daniel Noboa Azin",NA,NA,NA,NA,NA
"274","Uruguay",1984,1,"Julio Maria Sanguinetti","PC",1.012,"VDEM",1.562,"VDEM"
"275","Uruguay",1984,1,"Alberto Zumaran","PN",0.66,"VDEM",1.843,"VDEM"
"276","Uruguay",1989,1,"Jorge Batlle","PC",1.307,"VDEM",1.499,"VDEM"
"277","Uruguay",1989,1,"Luis Alberto Lacalle Herrera","PN",1.594,"VDEM",1.78,"VDEM"
"278","Uruguay",1989,1,"Carlos Julio Pereyra","PN",1.594,"VDEM",1.78,"VDEM"
"279","Uruguay",1989,1,"Alberto Zumaran","PN",1.594,"VDEM",1.78,"VDEM"
"280","Uruguay",1989,1,"Liber Seregni","FA/EP",-1.546,"VDEM",0.734,"VDEM"
"281","Uruguay",1989,1,"Hugo Batalla","NE",-0.487,"VDEM",-0.062,"VDEM"
"282","Uruguay",1994,1,"Julio Maria Sanguinetti","PC",1.006,"VDEM",1.499,"VDEM"
"283","Uruguay",1994,1,"Tabare Vazquez","FA/EP",-1.538,"VDEM",0.734,"VDEM"
"284","Uruguay",1994,1,"Juan Andres Ramirez","PN",1.395,"VDEM",1.78,"VDEM"
"285","Uruguay",2009,1,"Pedro Bordaberry","PC",1.269,"VDEM",0.805,"VDEM"
"286","Uruguay",2009,1,"Pablo Mieres",NA,NA,NA,NA,NA
