"","id_debate","cat_pais","ncat_eleccion","t_fecha","dico_certidumbre","ncat_ronda","dico_pre_vice_candidaturas","t_hora","str_organizador","str_titulo","dico_streaming","str_sede","str_moderadores","str_panelistas","n_presentes","str_presentes","str_ausentes","n_jornadas","n_duracion","dico_obligatorio","cat_formato","dico_ddreplica","ncat_ppac","ncat_competencia","dico_analisis","cat_temas","dico_comentarios","dico_inserts","cat_panel","ncat_panel","dico_analytics","n_strorganizador","n_panelistas","n_moderadores","n_ausentes","n_invitados","dico_formato_apertura","dico_formato_libre","dico_formato_duelo","dico_formato_moderadores","dico_formato_periodistas","dico_formato_sectores","dico_formato_expertos","dico_formato_virtuales","dico_formato_expositivo","dico_formato_presentes","dico_temas_puntuales","dico_temas_libre","dico_temas_monotema","dico_temas_bloques","cat_ballotage","n_candidaturas","n_proporcioninvitados","n_porcentajeausentes","n_proporcionausentes","n_indexausentes","dico_ausencias","cat_regmedios","cat_regestado","cat_regcandidatos","ncat_regmedios","ncat_regestado","ncat_regcandidatos","ncat_totreg","dico_org_mmc","dico_org_osc","dico_org_educ","dico_org_estado","dico_org_mmp"
"223",223,"Guatemala",2011,2011-10-17,1,2,NA,NA,"AGG Asociación de Generentes de Guatemala",NA,NA,"Teatro Nacional Miguel Ángel Asturias","Jorge Gestoso",NA,2,"Otto Pérez Molina;Manuel Baldizón","sin ausencias conocidas",NA,NA,NA,"moderadores","FALSE","0.0","2.0","0.0","puntuales","FALSE","TRUE","0.0",NA,0,"1",NA,1,0,2,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",2,2,1,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"224",224,"Guatemala",2015,2015-08-10,1,1,NA,NA,"Consejo de Empresarial de Guatemala","""Debate GT"", #DebateGT",NA,"Centro de Convenciones de Hotel Westin Camino Real","Juan Rodolfo Sánchez",NA,8,"Zury Rios;Alejandro Giammattei;José Angel Lopez;Miguel Ángel Sandoval;Lizardo Sosa;Juan Gutiérrez;Luis Fernando Pérez;Mario David García","Manuel Baldizon;Jimmy Morales;Sandra Torres;Mario Estrada;Roberto Gonzalez",NA,NA,NA,"moderadores","FALSE","0.0","2.0","0.0","monotema","FALSE","TRUE","Estudiantes","1",0,"1",NA,1,5,13,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",2,14,0.928571428571429,84.91,0.384615384615385,32.6576923076923,1,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"225",225,"Guatemala",2015,2015-08-25,1,1,NA,NA,"AGG Asociación de Generentes de Guatemala","""Elecciones 2015. Por el futuro de mi país participo, voto y exigo"", #DebateAGG",NA,NA,"Luis Felipe Valenzuela",NA,5,"Sandra Torres;Roberto González;Lizardo Sosa;Zury Ríos;Jimmy Morales","Manuel Baldizón",NA,NA,NA,"moderadores","TRUE","0.0","2.0","0.0","puntuales","FALSE","TRUE","0.0",NA,0,"1",NA,1,1,6,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",2,14,0.428571428571428,19.64,0.166666666666667,3.27333333333333,1,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"226",226,"Guatemala",2015,2015-08-16,1,1,NA,"0.791666666666667","ASIES Asociación de Investigación y Estudios Sociales;Albavisión","“Foro Presidenciables 2015”",NA,NA,"Elsie Sierra;Harris Whitbeck","Luis Boillat;Javier Brolo;Raquel Zelaya;Eduardo Stein;Álvaro Pop",14,"El primero: Manuel Baldizón;Alejandro Giammattei;Mario David García;Luis Fernando Pérez;Zury Ríos;El segundo: Aníbal García;Roberto González;Jimmy Morales;Miguel Ángel Sandoval;Lizardo Sosa;El tercero: Sandra Torres;Jose Angel Lopez;Juan Gutiérrez;Mario Estrada","sin ausencias conocidas","3.0",120,NA,"moderadores;expertos","FALSE","0.0","0.0","0.0","puntuales","FALSE","FALSE","Profesionales","4",0,"2","5",2,0,14,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",2,14,1,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"227",227,"Guatemala",2015,2015-08-20,1,1,NA,NA,"Universidad del Valle de Guatemala","“Educación es Desarrollo”",NA,NA,"Harris Whitbeck",NA,10,"Sandra Torres;Jimmy Morales; Aníbal García;Alejandro Giammattei;José Ángel López;Luis Fernando Pérez;Lizardo Sosa;Miguel Ángel Sandoval;Roberto González;sin datos","sin ausencias conocidas",NA,NA,NA,"NA","NA","NA","NA","NA","monotema","NA","NA",NA,NA,0,"1",NA,1,0,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE","FALSE","TRUE","FALSE",2,14,0.714285714285714,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
"228",228,"Guatemala",2015,2015-10-14,1,2,NA,"0.791666666666667","AGG Asociación de Generentes de Guatemala",NA,NA,NA,"Luis Felipe Valenzuela",NA,2,"Sandra Torres;Jimmy Morales","sin ausencias conocidas",NA,120,NA,"moderadores","NA","0.0","3.0","1.0","puntuales","TRUE","FALSE",NA,NA,0,"1",NA,1,0,2,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",2,2,1,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"229",229,"Guatemala",2015,2015-10-19,1,2,NA,"0.791666666666667","ASIES Asociación de Investigación y Estudios Sociales;Albavisión;Universidad de San Carlos","""Su Voto. Decisión 2015""",NA,NA,"Elsie Sierra;Harris Whitbeck",NA,2,"Sandra Torres;Jimmy Morales","sin ausencias conocidas",NA,120,NA,"moderadores;virtuales","FALSE","3.0","0.0","0.0","puntuales","FALSE","FALSE","0.0",NA,0,"3",NA,2,0,2,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",2,2,1,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE
"230",230,"Guatemala",2015,2015-10-23,1,2,NA,"0.791666666666667","Guatevisión;Alianza Evangélica de Guatemala;Consejo Apostólico de Guatemala;Iglesia Evangélica Presbiteriana de Guatemala;AMEG Asociación de Ministros Evangélicos de Guatemala;Liga Pro Patria","""Gran decisión 2015""",NA,"Auditorium de Fraternidad Cristiana de Guatemala","Ricardo García Santander","Benjamín López;Juan Manuel Medina;Isaias García;Hilda Aguilar",2,"Sandra Torres;Jimmy Morales","sin ausencias conocidas",NA,120,NA,"moderadores;sectores","FALSE","1.0","3.0","0.0","montema","TRUE","TRUE","Iglesia","94.0",0,"6","4",1,0,2,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2,2,1,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"231",231,"Guatemala",2019,2019-06-02,1,1,NA,"0.791666666666667","AGG Asociación de Generentes de Guatemala",NA,NA,"Mr. Music & Mr. Films, de la zona 15 capitalina.","Luis Felipe Valenzuela;Marielos Fuentes",NA,5,"Roberto Arzú;Edwin Escobar;Héctor Estrada;Alejandro Giammattei;Edmond Mulet","Sandra Torres",NA,NA,NA,"moderadores","FALSE","2.0","3.0","0.0","puntuales","TRUE","FALSE","0.0",NA,0,"1",NA,2,1,6,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",2,19,0.315789473684211,25.53,0.166666666666667,4.255,1,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"232",232,"Guatemala",2019,2019-06-10,1,1,NA,NA,"Federación Evangélica de Guatemala","foro presidencial cristiano #YoSoy Samuel",NA,NA,"Lidia Jiménez;Eduardo Magermans",NA,8,"Roberto Arzú;Sandra Torres;Estuardo Galdamez;Amilcar Rivera;Julio Héctor Estrada;Edmond Mulet ;Alejandro Giammattei;Isaac Farchi","sin ausencias conocidas",NA,NA,NA,"moderadores","FALSE","0.0","0.0","0.0","monotema","FALSE","FALSE","0.0",NA,0,"1",NA,2,0,8,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",2,19,0.421052631578947,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
