cat_pais,ncat_eleccion,ncat_ronda,nombres_candidatos,ninvitaciones,source_invitaciones
Brasil,2018,1,Henrique Meirelles,7,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2018,1,Jair Bolsonaro,7,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2018,1,Luiz Inacio Lula da Silva,2,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2018,1,Marina Silva,7,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2022,1,Ciro Gomes,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2022,1,Jair Bolsonaro,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2022,1,Kelmon Souza,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2022,1,Luiz Felipe d'Avila,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2022,1,Luiz Inacio Lula da Silva,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2022,1,Simone Tebet,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2022,1,Soraya Thronicke,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2022,2,Jair Bolsonaro,2,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2022,2,Luiz Inacio Lula da Silva,2,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,1989,1,Hernan Buchi,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,1989,1,Patricio Aylwin Azocar,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,1993,1,Arturo Alessandri Besa,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,1993,1,Christian Reitze,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,1993,1,Eduardo Frei Ruiz-Tagle,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,1993,1,Eugenio Pizzarro,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,1993,1,Jose Pinera,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,1993,1,Manfred Max-Neef,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2000,1,Joaquin Lavin Infante,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2000,1,Ricardo Lagos Escobar,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2006,1,Joaquin Lavin Infante,4,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2006,1,Michelle Bachelet,4,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2006,1,Sebastian Pinera,4,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2006,1,Tomas Hirsch Goldschmidt,4,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2006,2,Michelle Bachelet,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2006,2,Sebastian Pinera,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2010,1,Eduardo Frei Ruiz-Tagle,5,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2010,1,Jorge Arrate Mac Niven,5,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2010,1,Marco Enriquez-Ominami,5,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2010,1,Sebastian Pinera,5,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2010,2,Eduardo Frei Ruiz-Tagle,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2010,2,Sebastian Pinera,1,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,1,Alfredo Sfeir,3,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,1,Evelyn Matthei,4,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,1,Franco Parisi,4,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,1,Marcel Claude,3,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,1,Marco Enriquez-Ominami,4,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,1,Michelle Bachelet,4,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,1,Ricardo Israel,3,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,1,Roxana Miranda,3,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,1,Tomas Jocelyn-Holt,3,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,2,Evelyn Matthei,2,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2013,2,Michelle Bachelet,2,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2017,1,Alejandro Guillier,6,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2017,1,Alejandro Navarro,5,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2017,1,Beatriz Sanchez,6,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2017,1,Carolina Goic,6,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2017,1,Eduardo Artes,5,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2017,1,Jose Antonio Kast,6,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2017,1,Marco Enriquez-Ominami,5,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2017,1,Sebastian Pinera,6,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2017,2,Alejandro Guillier,2,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2017,2,Sebastian Pinera,2,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2021,1,Eduardo Artes,9,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2021,1,Franco Parisi,9,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2021,1,Gabriel Boric,9,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2021,1,Jose Antonio Kast,8,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2021,1,Marco Enriquez-Ominami,9,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2021,1,Sebastian Sichel,8,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2021,1,Yasna Provoste,8,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2021,2,Gabriel Boric,2,Elaboracion propia con base en Franco Hantzsch (2022)
Chile,2021,2,Jose Antonio Kast,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,1986,1,Alvaro Gomez Hurtado,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,1986,1,Luis Carlos Galan,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,1986,1,Virgilio Barco,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,1994,1,Andres Pastrana,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,1994,1,Ernesto Samper,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,1998,2,Andres Pastrana,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,1998,2,Horacio Serpa,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2002,1,Alvaro Uribe Velez,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2002,1,Harold Bedoy,1,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2002,1,Horacio Serpa,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2002,1,Ingrid Betancourt,1,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2002,1,Luis Eduardo Garzon,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2002,1,Noemi Sanin,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2006,1,Alvaro Leyva,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2006,1,Alvaro Uribe Velez,4,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2006,1,Antanas Mockus,4,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2006,1,Carlos Gaviria,4,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2006,1,Enrique Parejo,1,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2006,1,Horacio Serpa,4,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2010,1,Antanas Mockus,5,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2010,1,German Vargas Lleras,5,Elaboracion propia con base en Franco Hantzsch (2022)
