"","cat_pais","ncat_eleccion","ncat_ronda","gdpxcapita","source_gdp","gdpxcapita2","source_gdpxcapita2"
"61","Colombia",1994,1,4039.99396090115,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4319.93017578125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"62","Colombia",1994,2,4039.99396090115,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4319.93017578125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"63","Colombia",1998,1,4196.920348678,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4679.240234375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"64","Colombia",1998,2,4196.920348678,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4679.240234375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"65","Colombia",2002,1,4045.30674640602,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4904.75,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"66","Colombia",2006,1,4685.05458534514,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4825.830078125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"67","Colombia",2010,1,5209.73247012375,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",5596.72998046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"68","Colombia",2010,2,5209.73247012375,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",5596.72998046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"69","Colombia",2014,1,6107.08301924277,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6250.66015625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"70","Colombia",2014,2,6107.08301924277,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6250.66015625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"71","Colombia",2018,1,6320.99074680751,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7313.2099609375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"72","Colombia",2018,2,6320.99074680751,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7313.2099609375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"73","Colombia",2022,1,6836.22873742474,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"74","Colombia",2022,2,6836.22873742474,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"75","Costa Rica",1962,1,3557.05684164856,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",2757.75,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"76","Costa Rica",1966,1,3989.34368519075,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",2847.14990234375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"77","Costa Rica",1970,1,4623.01297405337,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3211.32006835938,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"78","Costa Rica",1974,1,5473.29797912269,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3707.10009765625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"79","Costa Rica",1978,1,6143.63894665042,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4399.81982421875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"80","Costa Rica",1982,1,5275.59900731003,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4951.759765625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"81","Costa Rica",1986,1,5581.2561174697,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4264.31982421875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"82","Costa Rica",1990,1,5967.19094183268,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4481.830078125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"83","Costa Rica",1994,1,6751.91925524745,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4911.5498046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"84","Costa Rica",1998,1,7355.15363564155,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",5563.02001953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"85","Costa Rica",2002,1,7898.63313789409,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6020.759765625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"86","Costa Rica",2002,2,7898.63313789409,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6020.759765625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"87","Costa Rica",2006,1,9041.38679579351,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6434.39013671875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"88","Costa Rica",2010,1,10137.5821702895,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7351.85986328125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"89","Costa Rica",2014,1,11240.7115867772,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8199.41015625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"90","Costa Rica",2014,2,11240.7115867772,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8199.41015625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"91","Costa Rica",2018,1,12470.9574208108,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",9065.0302734375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"92","Costa Rica",2018,2,12470.9574208108,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",9065.0302734375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"93","Costa Rica",2022,1,13424.464701378,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"94","Costa Rica",2022,2,13424.464701378,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"95","Ecuador",1960,1,2377.55884105386,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"96","Ecuador",1968,1,2501.79393753824,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"97","Ecuador",1979,1,3865.30576830776,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"98","Ecuador",1979,2,3865.30576830776,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"99","Ecuador",1984,1,3825.41420100997,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3648.75,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"100","Ecuador",1984,2,3825.41420100997,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3648.75,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"101","Ecuador",1988,1,3932.1223035043,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3622.7900390625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"102","Ecuador",1988,2,3932.1223035043,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3622.7900390625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"103","Ecuador",1992,1,4005.86096434684,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3727.85009765625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"104","Ecuador",1992,2,4005.86096434684,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3727.85009765625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"105","Ecuador",1996,1,4106.26329396518,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3782.18994140625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
