"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","anio","vote_share","vs_vote_share","party_name","vs_party_name","status","vs_status","source_str_vote_share","source_url_vote_share"
"123","Argentina",2015,2,"Mauricio Macri",2015,"51,34",NA,"Cambiemos","PRO","Desafiante",NA,"Friedenberg (2016a)",""
"124","Argentina",2019,1,"Juan Jose Gomez Centurion",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Argentina",2019,1,"Mauricio Macri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Argentina",2019,1,"Alberto Fernandez",2019,"48,24",NA,"Frente de Todos",NA,"Desafiante",NA,"Friedenberg (2016a)",""
"127","Argentina",2019,1,"Jose Luis Espert",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Argentina",2019,1,"Roberto Lavagna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Argentina",2019,1,"Nicolas del Cano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Argentina",2023,1,"Sergio Massa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Argentina",2023,1,"Javier Milei",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Argentina",2023,1,"Myriam Bregman",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Argentina",2023,1,"Juan Schiaretti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Argentina",2023,1,"Patricia Bullrich",NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Argentina",2023,2,"Sergio Massa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Argentina",2023,2,"Javier Milei",2023,"55,69",NA,"La Liberad Avanza",NA,"Desafiante",NA,"Friedenberg (2016a)",""
"137","Peru",1990,2,"Alberto Fujimori",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Peru",1990,2,"Mario Vargas Llosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Peru",2001,2,"Alejandro Toledo Manrique",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Peru",2001,2,"Alan Garcia Perez",NA,NA,NA,NA,NA,NA,NA,NA,NA
