"","cat_pais","ncat_eleccion","ncat_ronda","satisfaccion","source_satisfaccion"
"98","Ecuador",1979,2,NA,NA
"99","Ecuador",1984,1,NA,NA
"100","Ecuador",1984,2,NA,NA
"101","Ecuador",1988,1,NA,NA
"102","Ecuador",1988,2,NA,NA
"103","Ecuador",1992,1,NA,NA
"104","Ecuador",1992,2,NA,NA
"105","Ecuador",1996,1,0.3325,"Promedio de valores provenientes de:Latinobarometro"
"106","Ecuador",1996,2,0.3325,"Promedio de valores provenientes de:Latinobarometro"
"107","Ecuador",1998,1,0.3375,"Promedio de valores provenientes de:Latinobarometro"
"108","Ecuador",1998,2,0.3375,"Promedio de valores provenientes de:Latinobarometro"
"109","Ecuador",2002,1,0.191666666666667,"Promedio de valores provenientes de:Latinobarometro"
"110","Ecuador",2002,2,0.191666666666667,"Promedio de valores provenientes de:Latinobarometro"
"111","Ecuador",2006,1,0.227361111111112,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"112","Ecuador",2006,2,0.227361111111112,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"113","Ecuador",2009,1,0.442333333333334,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"114","Ecuador",2013,1,0.44425,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"115","Ecuador",2017,1,0.504097896440129,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"116","Ecuador",2017,2,0.504097896440129,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"117","Ecuador",2021,1,0.1876026067665,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"118","Ecuador",2021,2,0.1876026067665,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"119","Ecuador",2023,1,0.186972152950956,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"120","Ecuador",2023,2,0.186972152950956,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"121","El Salvador",1984,1,NA,NA
"122","El Salvador",1984,2,NA,NA
"123","El Salvador",1989,1,NA,NA
"124","El Salvador",1994,1,NA,NA
"125","El Salvador",1994,2,NA,NA
"126","El Salvador",1999,1,0.473,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"127","El Salvador",2004,1,0.480912838263058,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"128","El Salvador",2009,1,0.511312782440284,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"129","El Salvador",2014,1,0.475642857142857,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"130","El Salvador",2014,2,0.475642857142857,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"131","El Salvador",2019,1,0.251527796161483,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"132","El Salvador",2024,1,0.703255936675462,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"133","Guatemala",1966,1,NA,NA
"134","Guatemala",1970,1,NA,NA
"135","Guatemala",1974,1,NA,NA
"136","Guatemala",1978,1,NA,NA
"137","Guatemala",1982,1,NA,NA
"138","Guatemala",1985,1,NA,NA
"139","Guatemala",1985,2,NA,NA
"140","Guatemala",1991,1,NA,NA
"141","Guatemala",1991,2,NA,NA
"142","Guatemala",1995,1,NA,NA
"143","Guatemala",1995,2,0.166833166833167,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"144","Guatemala",1999,1,0.569,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"145","Guatemala",1999,2,0.569,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"146","Guatemala",2003,1,0.210735586481113,"Promedio de valores provenientes de:Latinobarometro"
"147","Guatemala",2003,2,0.359758893943132,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
