"","cat_pais","ncat_eleccion","ncat_ronda","runoff","concelec","source_runoff","source_concelec","compulsoryvoting","source_compulsoryvoting"
"85","Costa Rica",2002,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"86","Costa Rica",2002,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"87","Costa Rica",2006,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"88","Costa Rica",2010,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"89","Costa Rica",2014,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"90","Costa Rica",2014,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"91","Costa Rica",2018,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"92","Costa Rica",2018,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"93","Costa Rica",2022,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"94","Costa Rica",2022,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"95","Ecuador",1960,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"96","Ecuador",1968,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"97","Ecuador",1979,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"98","Ecuador",1979,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"99","Ecuador",1984,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"100","Ecuador",1984,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"101","Ecuador",1988,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"102","Ecuador",1988,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"103","Ecuador",1992,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"104","Ecuador",1992,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"105","Ecuador",1996,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"106","Ecuador",1996,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"107","Ecuador",1998,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"108","Ecuador",1998,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"109","Ecuador",2002,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"110","Ecuador",2002,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"111","Ecuador",2006,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"112","Ecuador",2006,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"113","Ecuador",2009,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
