"","cat_pais","ncat_eleccion","ncat_ronda","avgpropdebatesregionxciclo","lagpropdebatesregion","lagndebatesregion","source_region"
"93","Venezuela",2012,1,0.604166666666667,0.666666666666667,4,"Calculo con base en data recabada para Franco H. (2022)"
"94","Venezuela",2013,1,0.333333333333333,0.333333333333333,1,"Calculo con base en data recabada para Franco H. (2022)"
"95","Venezuela",2018,1,0.826666666666667,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"96","Bolivia",1978,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"97","Bolivia",1979,1,0.166666666666667,0.166666666666667,1,"Calculo con base en data recabada para Franco H. (2022)"
"98","Bolivia",1980,1,0.666666666666667,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"99","Bolivia",1985,1,0.206666666666667,0.333333333333333,2,"Calculo con base en data recabada para Franco H. (2022)"
"100","Bolivia",1989,1,0.222222222222222,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"101","Bolivia",1993,1,0.371031746031746,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"102","Bolivia",1997,1,0.4125,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"103","Bolivia",2002,1,0.333333333333333,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"104","Bolivia",2005,1,0.583333333333333,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"105","Bolivia",2009,1,0.5625,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"106","Bolivia",2014,1,0.641666666666667,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"107","Bolivia",2019,1,0.793333333333333,0.666666666666667,6,"Calculo con base en data recabada para Franco H. (2022)"
"108","Bolivia",2020,1,0.75,0.75,6,"Calculo con base en data recabada para Franco H. (2022)"
"109","Mexico",1982,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"110","Mexico",1988,1,0.34,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"111","Mexico",1994,1,0.380687830687831,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"112","Mexico",2000,1,0.35,0.25,2,"Calculo con base en data recabada para Franco H. (2022)"
"113","Mexico",2006,1,0.472222222222222,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"114","Mexico",2012,1,0.604166666666667,0.666666666666667,4,"Calculo con base en data recabada para Franco H. (2022)"
"115","Mexico",2018,1,0.744444444444444,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"116","Guatemala",1966,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"117","Guatemala",1970,1,0.25,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"118","Guatemala",1974,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"119","Guatemala",1978,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"120","Guatemala",1982,1,0.208333333333333,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"121","Guatemala",1985,2,0.344444444444444,0.333333333333333,2,"Calculo con base en data recabada para Franco H. (2022)"
"122","Guatemala",1991,2,0.428571428571429,0.428571428571429,3,"Calculo con base en data recabada para Franco H. (2022)"
"123","Guatemala",1995,2,0.475,0.6,6,"Calculo con base en data recabada para Franco H. (2022)"
"124","Guatemala",1999,2,0.3125,0.5,4,"Calculo con base en data recabada para Franco H. (2022)"
"125","Guatemala",2003,2,0.354166666666667,0.75,6,"Calculo con base en data recabada para Franco H. (2022)"
"126","Guatemala",2007,2,0.604166666666667,0.75,9,"Calculo con base en data recabada para Franco H. (2022)"
"127","Guatemala",2011,2,0.552083333333333,1,6,"Calculo con base en data recabada para Franco H. (2022)"
"128","Guatemala",2015,2,0.645833333333333,0.75,9,"Calculo con base en data recabada para Franco H. (2022)"
"129","Guatemala",2019,2,0.804166666666667,0.666666666666667,6,"Calculo con base en data recabada para Franco H. (2022)"
"130","Guatemala",2023,2,0.735119047619048,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"131","Honduras",1981,1,0.333333333333333,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"132","Honduras",1985,1,0.258333333333333,0.333333333333333,2,"Calculo con base en data recabada para Franco H. (2022)"
"133","Honduras",1989,1,0.222222222222222,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"134","Honduras",1993,1,0.371031746031746,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"135","Honduras",1997,1,0.4125,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"136","Honduras",2001,1,0.354166666666667,0.166666666666667,1,"Calculo con base en data recabada para Franco H. (2022)"
"137","Honduras",2005,1,0.5,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"138","Honduras",2009,1,0.5625,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"139","Honduras",2013,1,0.59375,0.333333333333333,1,"Calculo con base en data recabada para Franco H. (2022)"
"140","Honduras",2017,1,0.833333333333333,0.75,3,"Calculo con base en data recabada para Franco H. (2022)"
"141","Honduras",2021,1,0.679166666666667,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"142","Colombia",1974,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"143","Colombia",1978,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"144","Colombia",1982,1,0.208333333333333,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"145","Colombia",1986,1,0.258333333333333,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"146","Colombia",1990,1,0.407407407407407,0.555555555555556,5,"Calculo con base en data recabada para Franco H. (2022)"
"147","Colombia",1994,2,0.432142857142857,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"148","Colombia",1998,2,0.3375,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"149","Colombia",2002,1,0.291666666666667,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"150","Colombia",2006,1,0.604166666666667,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"151","Colombia",2010,2,0.489583333333333,0.375,3,"Calculo con base en data recabada para Franco H. (2022)"
"152","Colombia",2014,2,0.708333333333333,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"153","Colombia",2018,2,0.825,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"154","Colombia",2022,2,0.693452380952381,0.857142857142857,6,"Calculo con base en data recabada para Franco H. (2022)"
"155","Costa Rica",1962,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"156","Costa Rica",1966,1,0.5,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"157","Costa Rica",1970,1,0.25,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"158","Costa Rica",1974,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"159","Costa Rica",1978,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"160","Costa Rica",1982,1,0.208333333333333,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"161","Costa Rica",1986,1,0.258333333333333,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"162","Costa Rica",1990,1,0.407407407407407,0.555555555555556,5,"Calculo con base en data recabada para Franco H. (2022)"
"163","Costa Rica",1994,1,0.432142857142857,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"164","Costa Rica",1998,1,0.3375,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"165","Costa Rica",2002,2,0.291666666666667,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"166","Costa Rica",2006,1,0.604166666666667,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"167","Costa Rica",2010,1,0.489583333333333,0.375,3,"Calculo con base en data recabada para Franco H. (2022)"
"168","Costa Rica",2014,2,0.708333333333333,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"169","Costa Rica",2018,2,0.825,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"170","Costa Rica",2022,2,0.693452380952381,0.857142857142857,6,"Calculo con base en data recabada para Franco H. (2022)"
"171","Republica Dominicana",1978,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"172","Republica Dominicana",1982,1,0.208333333333333,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"173","Republica Dominicana",1986,1,0.258333333333333,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"174","Republica Dominicana",1990,1,0.407407407407407,0.555555555555556,5,"Calculo con base en data recabada para Franco H. (2022)"
"175","Republica Dominicana",1994,1,0.432142857142857,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"176","Republica Dominicana",1996,2,0.425,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"177","Republica Dominicana",2000,1,0.3125,0.25,2,"Calculo con base en data recabada para Franco H. (2022)"
"178","Republica Dominicana",2004,1,0.479166666666667,0.75,3,"Calculo con base en data recabada para Franco H. (2022)"
"179","Republica Dominicana",2008,1,0.5,0.333333333333333,1,"Calculo con base en data recabada para Franco H. (2022)"
