"","cat_pais","ncat_eleccion","nombres_candidatos","npresenciaspasadas","nausenciaspasadas","dicopresenciaspasadas","dicoausenciaspasadas","source_participaciones"
"154","Costa Rica",2002,"Otton Solis",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"155","Costa Rica",2002,"Pablo Galo Angulo Casasola",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"156","Costa Rica",2002,"Rolando Angulo Zeledon",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"157","Costa Rica",2002,"Rolando Araya",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"158","Costa Rica",2002,"Vladimir de la Cruz de Lemos",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"159","Costa Rica",2002,"Walter Munoz",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"160","Guatemala",2003,"Alvaro Colom",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"161","Guatemala",2003,"Eduardo Suger",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"162","Guatemala",2003,"Fritz Garcia-Gallont",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"163","Guatemala",2003,"Leonel Lopez Rodas",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"164","Guatemala",2003,"Manuel Conde Orellana",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"165","Guatemala",2003,"Oscar Berger",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"166","Paraguay",2003,"Diego Abente",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"167","Paraguay",2003,"Guillermo Sanchez Guffanti",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"168","Paraguay",2003,"Julio Cesar Franco",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"169","Paraguay",2003,"Nicanor Duarte Frutos",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"170","Paraguay",2003,"Pedro Fadul",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"171","Panama",2004,"Guillermo Endara",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"172","Panama",2004,"Jose Miguel Aleman",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"173","Panama",2004,"Martin Torrijos",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"174","Panama",2004,"Ricardo Martinelli",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"175","Bolivia",2005,"Eliseo Rodriguez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"176","Bolivia",2005,"Evo Morales",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"177","Bolivia",2005,"Felipe Quispe",1,1,1,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"178","Bolivia",2005,"Gildo Angulo",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
