"","cat_pais","ncat_eleccion","ncat_ronda","volatility","newparties","withinsv","source_volatility"
"100","Guatemala",1991,1,51.2400016784668,43.0299987792969,8.21000003814697,"Mainwaring & Su (2021)"
"101","Guatemala",1995,1,64.9199981689453,9.28999996185303,55.6300010681152,"Mainwaring & Su (2021)"
"102","Guatemala",1999,1,41.5099983215332,12.6999998092651,28.8099994659424,"Mainwaring & Su (2021)"
"103","Guatemala",2003,1,69.75,65.5,4.25,"Mainwaring & Su (2021)"
"104","Guatemala",2007,1,40.3699989318848,11.1099996566772,29.2600002288818,"Mainwaring & Su (2021)"
"105","Guatemala",2011,1,64.4599990844727,45.9599990844727,18.5,"Mainwaring & Su (2021)"
"106","Guatemala",2015,1,60.189998626709,30.8799991607666,29.3099994659424,"Mainwaring & Su (2021)"
"107","Guatemala",2019,1,NA,NA,NA,NA
"108","Guatemala",2023,1,NA,NA,NA,NA
"109","Honduras",1981,1,NA,NA,NA,NA
"110","Honduras",1985,1,4.19000005722046,0,4.19000005722046,"Mainwaring & Su (2021)"
"111","Honduras",1989,1,7.15999984741211,0,7.15999984741211,"Mainwaring & Su (2021)"
"112","Honduras",1993,1,9.55000019073486,0,9.55000019073486,"Mainwaring & Su (2021)"
"113","Honduras",1997,1,1.29999995231628,1.23000001907349,0.0700000002980232,"Mainwaring & Su (2021)"
"114","Honduras",2001,1,9.40999984741211,0,9.40999984741211,"Mainwaring & Su (2021)"
"115","Honduras",2005,1,6.46999979019165,0,6.46999979019165,"Mainwaring & Su (2021)"
"116","Honduras",2009,1,11.8100004196167,0,11.8100004196167,"Mainwaring & Su (2021)"
"117","Honduras",2013,1,NA,NA,NA,NA
"118","Honduras",2017,1,NA,NA,NA,NA
"119","Honduras",2021,1,NA,NA,NA,NA
"120","Mexico",1982,1,NA,NA,NA,NA
"121","Mexico",1988,1,NA,NA,NA,NA
"122","Mexico",1994,1,15.6999998092651,3.90000009536743,11.8000001907349,"Mainwaring & Su (2021)"
"123","Mexico",2000,1,18.9200000762939,2.1800000667572,16.7399997711182,"Mainwaring & Su (2021)"
"124","Mexico",2006,1,24.8899993896484,3.67000007629395,21.2199993133545,"Mainwaring & Su (2021)"
"125","Mexico",2012,1,17.3099994659424,0,17.3099994659424,"Mainwaring & Su (2021)"
"126","Mexico",2018,1,60.1500015258789,54.7599983215332,5.3899998664856,"Mainwaring & Su (2021)"
"127","Nicaragua",1984,1,NA,NA,NA,NA
"128","Nicaragua",1990,1,48.689998626709,2.76999998092651,45.9199981689453,"Mainwaring & Su (2021)"
"129","Nicaragua",1996,1,10.8999996185303,6.73999977111816,4.15999984741211,"Mainwaring & Su (2021)"
"130","Nicaragua",2001,1,9.77999973297119,0,9.77999973297119,"Mainwaring & Su (2021)"
"131","Nicaragua",2006,1,34.8899993896484,28.5799999237061,6.30999994277954,"Mainwaring & Su (2021)"
"132","Nicaragua",2011,1,NA,NA,NA,NA
"133","Nicaragua",2016,1,NA,NA,NA,NA
"134","Panama",1994,1,38.310001373291,19.2000007629395,19.1100006103516,"Mainwaring & Su (2021)"
"135","Panama",1999,1,35.2299995422363,0,35.2299995422363,"Mainwaring & Su (2021)"
"136","Panama",2004,1,45.7999992370605,5.30999994277954,40.4900016784668,"Mainwaring & Su (2021)"
"137","Panama",2009,1,57.0400009155273,2.3199999332428,54.7200012207031,"Mainwaring & Su (2021)"
"138","Panama",2014,1,40.5,1.39999997615814,39.0999984741211,"Mainwaring & Su (2021)"
"139","Panama",2019,1,NA,NA,NA,NA
"140","Paraguay",1989,1,NA,NA,NA,NA
"141","Paraguay",1993,1,37.25,24.3999996185303,12.8500003814697,"Mainwaring & Su (2021)"
"142","Paraguay",1998,1,24.75,0.300000011920929,24.4500007629395,"Mainwaring & Su (2021)"
"143","Paraguay",2003,1,36.9900016784668,36.2999992370605,0.689999997615814,"Mainwaring & Su (2021)"
"144","Paraguay",2008,1,51.8199996948242,0.170000001788139,51.6500015258789,"Mainwaring & Su (2021)"
"145","Paraguay",2013,1,59.6699981689453,0.170000001788139,59.5,"Mainwaring & Su (2021)"
"146","Paraguay",2018,1,12.2799997329712,5.61999988555908,6.65999984741211,"Mainwaring & Su (2021)"
"147","Paraguay",2023,1,NA,NA,NA,NA
"148","Peru",1980,1,NA,NA,NA,NA
"149","Peru",1985,1,51.9000015258789,1.60000002384186,50.2999992370605,"Mainwaring & Su (2021)"
"150","Peru",1990,1,76.1500015258789,75.8000030517578,0.349999994039536,"Mainwaring & Su (2021)"
"151","Peru",1995,1,65.0500030517578,28.1299991607666,36.9199981689453,"Mainwaring & Su (2021)"
"152","Peru",2000,1,NA,NA,NA,NA
"153","Peru",2001,1,62.1100006103516,3.55999994277954,58.5499992370605,"Mainwaring & Su (2021)"
"154","Peru",2006,1,51.7700004577637,38.2799987792969,13.4899997711182,"Mainwaring & Su (2021)"
"155","Peru",2011,1,43.3600006103516,0.689999997615814,42.6800003051758,"Mainwaring & Su (2021)"
"156","Peru",2016,1,75.120002746582,27.2900009155273,47.8300018310547,"Mainwaring & Su (2021)"
"157","Peru",2021,1,NA,NA,NA,NA
"158","Rep. Dominicana",1978,1,NA,NA,NA,NA
"159","Rep. Dominicana",1982,1,14.2700004577637,4.03000020980835,10.2399997711182,"Mainwaring & Su (2021)"
"160","Rep. Dominicana",1986,1,20.0300006866455,6.86999988555908,13.1599998474121,"Mainwaring & Su (2021)"
"161","Rep. Dominicana",1990,1,NA,NA,NA,NA
"162","Rep. Dominicana",1994,1,NA,NA,NA,NA
"163","Rep. Dominicana",1996,1,29.0799999237061,0.159999996423721,28.9200000762939,"Mainwaring & Su (2021)"
"164","Rep. Dominicana",2000,1,19,0.300000011920929,18.7000007629395,"Mainwaring & Su (2021)"
"165","Rep. Dominicana",2004,1,35.8400001525879,4.86999988555908,30.9699993133545,"Mainwaring & Su (2021)"
"166","Rep. Dominicana",2008,1,15.6800003051758,0.620000004768372,15.0600004196167,"Mainwaring & Su (2021)"
"167","Rep. Dominicana",2012,1,8.17000007629395,1.58000004291534,6.59000015258789,"Mainwaring & Su (2021)"
"168","Rep. Dominicana",2016,1,47.2999992370605,34.9799995422363,12.3199996948242,"Mainwaring & Su (2021)"
"169","Rep. Dominicana",2020,1,NA,NA,NA,NA
"170","Uruguay",1984,1,NA,NA,NA,NA
"171","Uruguay",1989,1,10.9499998092651,0.5,10.4499998092651,"Mainwaring & Su (2021)"
"172","Uruguay",1994,1,16.8999996185303,5.19999980926514,11.6999998092651,"Mainwaring & Su (2021)"
"173","Uruguay",1999,1,10.9499998092651,0,10.9499998092651,"Mainwaring & Su (2021)"
"174","Uruguay",2004,1,16.25,2.29999995231628,13.9499998092651,"Mainwaring & Su (2021)"
"175","Uruguay",2009,1,8.21000003814697,0.689999997615814,7.51999998092651,"Mainwaring & Su (2021)"
"176","Uruguay",2014,1,4.19000005722046,0.779999971389771,3.41000008583069,"Mainwaring & Su (2021)"
"177","Uruguay",2019,1,NA,NA,NA,NA
"178","Venezuela",1958,1,NA,NA,NA,NA
"179","Venezuela",1963,1,32.0999984741211,28.1000003814697,4,"Mainwaring & Su (2021)"
"180","Venezuela",1968,1,32.4000015258789,19.3999996185303,13,"Mainwaring & Su (2021)"
"181","Venezuela",1973,1,34.25,5.30000019073486,28.9500007629395,"Mainwaring & Su (2021)"
"182","Venezuela",1978,1,14.6499996185303,3.20000004768372,11.4499998092651,"Mainwaring & Su (2021)"
"183","Venezuela",1983,1,18.5499992370605,0.600000023841858,17.9500007629395,"Mainwaring & Su (2021)"
"184","Venezuela",1988,1,10.4499998092651,1,9.44999980926514,"Mainwaring & Su (2021)"
"185","Venezuela",1993,1,52.810001373291,30.4599990844727,22.3500003814697,"Mainwaring & Su (2021)"
"186","Venezuela",1998,1,99.370002746582,99.2900009155273,0.0799999982118607,"Mainwaring & Su (2021)"
"187","Venezuela",2000,1,43.689998626709,2.72000002861023,40.9700012207031,"Mainwaring & Su (2021)"
"188","Venezuela",2006,1,40.1500015258789,37,3.1800000667572,"Mainwaring & Su (2021)"
"189","Venezuela",2012,1,NA,NA,NA,NA
"190","Venezuela",2013,1,NA,NA,NA,NA
"191","Venezuela",2018,1,NA,NA,NA,NA
