"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","candidate_name","vote_share","party_name","status","compilador_vote_share","source_url_vote_share","source_str_vote_share"
"107","Brasil",2014,2,1,"Brazil","Aecio Neves","48,36","PSDB - PSDB","Desafiante",NA,"","Friedenberg (2016a)"
"108","Brasil",2018,1,1,"Brazil",NA,"46,03","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"109","Brasil",2018,1,1,"Brazil",NA,"29,28","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"110","Brasil",2018,2,0,"Brazil","Jair Bolsonaro","55,13","Brasil arriba de todo, Dios encima (PSL) - NA","Desafiante",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"111","Brasil",2018,2,0,"Brazil",NA,"44,87","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"112","Brasil",2022,1,1,"Brazil",NA,"48,43","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"113","Brasil",2022,1,1,"Brazil",NA,"43,2","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"114","Brasil",2022,2,1,"Brazil","Luiz Inacio Lula da Silva","50,9","Brasil de Esperanza (PT) - NA","Desafiante",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"115","Brasil",2022,2,1,"Brazil",NA,"49,1","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"116","Chile",1989,1,1,"Chile","Patricio Aylwin Azocar","55,17","Concertación/Unidad (PDC) - PDC/PS","-",NA,"","Friedenberg (2016a)"
"117","Chile",1989,1,1,"Chile","Hernan Buchi","29,4","NA - RD",NA,NA,"","Friedenberg (2016a)"
"118","Chile",1989,1,1,"Chile","Francisco Javier Errázuritz","15,43"," - ","",NA,"","Friedenberg (2016a)"
"119","Chile",1993,1,1,"Chile","Eduardo Frei Ruiz-Tagle","57,98","Concertación (PDC) - PDC/PS","Incumbent",NA,"","Friedenberg (2016a)"
"120","Chile",1993,1,1,"Chile","Arturo Alessandri Besa","24,41","NA - RD","Desafiante",NA,"","Friedenberg (2016a)"
"121","Chile",1993,1,1,"Chile","Manfred Max Neef","5,55"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"122","Chile",1993,1,1,"Chile","Eugenio Pizarro Poblete","4,7"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"123","Chile",1993,1,1,"Chile","Cristián Reitze Campos","1,17"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"124","Chile",1993,1,1,"Chile","José Piñera Echenique","6,18"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"125","Chile",2000,1,1,"Chile","Ricardo Lagos Escobar","47,95","Concertación (PPD) - PDC/PS","Incumbente",NA,"","Friedenberg (2016a)"
"126","Chile",2000,1,1,"Chile","Joaquín Lavin Infante","47,51","NA - RD","Desafiante",NA,"","Friedenberg (2016a)"
"127","Chile",2000,1,1,"Chile","Arturo Frei Bolívar","0,38"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"128","Chile",2000,1,1,"Chile","Sara María Larraín Ruiz-Tagle","0,44"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"129","Chile",2000,1,1,"Chile","Gladys Marín Millie","3,19"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"130","Chile",2000,1,1,"Chile","Tomás Hirsch Goldschmidt","0,51"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"131","Chile",2000,2,0,"Chile","Ricardo Lagos","51,31","Concertación (PPD) - PDC/PS","Incumbent",NA,"","Friedenberg (2016a)"
"132","Chile",2000,2,0,"Chile","Joaquín Lavin Infante","48,69","NA - NA","Desafiante",NA,"","Friedenberg (2016a)"
"133","Chile",2006,1,1,"Chile","Michelle Bachelet","45,96","Concertación (PS) - NA","Incumbent",NA,"","Friedenberg (2016a)"
"134","Chile",2006,1,1,"Chile","Sebastián Piñera Echenique","25,41","NA - NA","Desafiante",NA,"","Friedenberg (2016a)"
"135","Chile",2006,1,1,"Chile","Tomas Hirsch Goldschmidt","5,4"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"136","Chile",2006,1,1,"Chile","Joaquín Lavin Infante","23,23"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"137","Chile",2006,2,1,"Chile","Michelle Bachelet","53,5","Concertación (PS) - NA","Incumbent",NA,"","Friedenberg (2016a)"
"138","Chile",2006,2,1,"Chile","Sebastian Pinera","46,5","NA - NA","Desafiante",NA,"","Friedenberg (2016a)"
"139","Chile",2010,1,1,"Chile","Sebastian Pinera","44,06","Coalición por el cambio (RN) - NA","Desafiante",NA,"","Friedenberg (2016a)"
"140","Chile",2010,1,1,"Chile","Eduardo Frei Ruiz-Tagle","29,6","NA - NA","Incumbent",NA,"","Friedenberg (2016a)"
"141","Chile",2010,1,1,"Chile","Jorge Arrate Mac Niven","6,21"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"142","Chile",2010,1,1,"Chile","Marco Enriquez-Ominami","20,14"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"143","Chile",2010,2,1,"Chile","Sebastian Pinera","51,61","Coalición por el cambio (RN) - NA","Desafiante",NA,"","Friedenberg (2016a)"
"144","Chile",2010,2,1,"Chile","Eduardo Frei Ruiz-Tagle","48,39","NA - NA","Incumbent",NA,"","Friedenberg (2016a)"
"145","Chile",2013,1,1,"Chile","Michelle Bachelet","46,7","Nueva Mayoría (PS) - NA","Desafiante",NA,"","Friedenberg (2016a)"
"146","Chile",2013,1,1,"Chile","Evelyn Matthei","25,03","NA - NA",NA,NA,"","Friedenberg (2016a)"
