"","cat_pais","ncat_eleccion","ncat_ronda","ntc","source_ntc","all_ntc_caro"
"175","Mexico",2018,1,5,"Calculo propio con base en datos de candidatos",6
"176","Nicaragua",1984,1,7,"Calculo propio con base en datos de candidatos",7
"177","Nicaragua",1990,1,10,"Calculo propio con base en datos de candidatos",10
"178","Nicaragua",1996,1,22,"Lujan (2020)",NA
"179","Nicaragua",2001,1,3,"Lujan (2020)",NA
"180","Nicaragua",2006,1,5,"Calculo propio con base en datos de candidatos",5
"181","Nicaragua",2011,1,5,"Lujan (2020)",NA
"182","Nicaragua",2016,1,6,"Lujan (2020)",NA
"183","Panama",1994,1,7,"Calculo propio con base en datos de candidatos",7
"184","Panama",1999,1,3,"Lujan (2020)",NA
"185","Panama",2004,1,4,"Calculo propio con base en datos de candidatos",4
"186","Panama",2009,1,3,"Calculo propio con base en datos de candidatos",3
"187","Panama",2014,1,7,"Calculo propio con base en datos de candidatos",7
"188","Panama",2019,1,7,"Calculo propio con base en datos de candidatos",7
"189","Paraguay",1989,1,8,"Calculo propio con base en datos de candidatos",8
"190","Paraguay",1993,1,9,"Calculo propio con base en datos de candidatos",9
"191","Paraguay",1998,1,4,"Calculo propio con base en datos de candidatos",4
"192","Paraguay",2003,1,9,"Calculo propio con base en datos de candidatos",9
"193","Paraguay",2008,1,7,"Calculo propio con base en datos de candidatos",7
"194","Paraguay",2013,1,11,"Calculo propio con base en datos de candidatos",11
"195","Paraguay",2018,1,10,"Calculo propio con base en datos de candidatos",10
"196","Paraguay",2023,1,13,"Calculo propio con base en datos de candidatos",13
"197","Peru",1980,1,15,"Lujan (2020)",NA
"198","Peru",1985,1,9,"Lujan (2020)",NA
"199","Peru",1990,1,9,"Lujan (2020)",NA
"200","Peru",1990,2,2,"Calculo propio con base en datos de candidatos",2
"201","Peru",1995,1,14,"Lujan (2020)",NA
"202","Peru",2000,1,9,"Calculo propio con base en datos de candidatos",9
"203","Peru",2000,2,2,"Calculo propio con base en datos de candidatos",2
"204","Peru",2001,1,8,"Lujan (2020)",NA
"205","Peru",2001,2,2,"Calculo propio con base en datos de candidatos",2
"206","Peru",2006,1,20,"Lujan (2020)",NA
"207","Peru",2006,2,2,"Calculo propio con base en datos de candidatos",2
"208","Peru",2011,1,11,"Calculo propio con base en datos de candidatos",11
"209","Peru",2011,2,2,"Calculo propio con base en datos de candidatos",2
"210","Peru",2016,1,10,"Calculo propio con base en datos de candidatos",18
"211","Peru",2016,2,2,"Calculo propio con base en datos de candidatos",2
"212","Peru",2021,1,18,"Calculo propio con base en datos de candidatos",18
"213","Peru",2021,2,2,"Calculo propio con base en datos de candidatos",2
"214","Republica Dominicana",1978,1,8,"Calculo propio con base en datos de candidatos",8
"215","Republica Dominicana",1982,1,9,"Calculo propio con base en datos de candidatos",9
"216","Republica Dominicana",1986,1,7,"Calculo propio con base en datos de candidatos",7
"217","Republica Dominicana",1990,1,9,"Calculo propio con base en datos de candidatos",9
"218","Republica Dominicana",1994,1,13,"Lujan (2020)",NA
"219","Republica Dominicana",1996,1,12,"Lujan (2020)",NA
"220","Republica Dominicana",1996,2,2,"Calculo propio con base en datos de candidatos",2
"221","Republica Dominicana",2000,1,11,"Lujan (2020)",NA
"222","Republica Dominicana",2004,1,20,"Lujan (2020)",NA
"223","Republica Dominicana",2008,1,7,"Lujan (2020)",NA
"224","Republica Dominicana",2012,1,6,"Lujan (2020)",NA
"225","Republica Dominicana",2016,1,8,"Calculo propio con base en datos de candidatos",8
"226","Republica Dominicana",2020,1,6,"Calculo propio con base en datos de candidatos",6
"227","Uruguay",1984,1,10,"Calculo propio con base en datos de candidatos",10
"228","Uruguay",1989,1,12,"Calculo propio con base en datos de candidatos",12
"229","Uruguay",1994,1,20,"Calculo propio con base en datos de candidatos",20
"230","Uruguay",1999,1,5,"Lujan (2020)",NA
"231","Uruguay",1999,2,2,"Calculo propio con base en datos de candidatos",2
"232","Uruguay",2004,1,8,"Lujan (2020)",NA
"233","Uruguay",2009,1,5,"Calculo propio con base en datos de candidatos",5
"234","Uruguay",2009,2,2,"Calculo propio con base en datos de candidatos",2
"235","Uruguay",2014,1,7,"Calculo propio con base en datos de candidatos",7
"236","Uruguay",2014,2,2,"Calculo propio con base en datos de candidatos",2
"237","Uruguay",2019,1,11,"Calculo propio con base en datos de candidatos",11
"238","Uruguay",2019,2,2,"Calculo propio con base en datos de candidatos",2
"239","Venezuela",1958,1,3,"Calculo propio con base en datos de candidatos",3
"240","Venezuela",1963,1,7,"Calculo propio con base en datos de candidatos",7
"241","Venezuela",1968,1,6,"Calculo propio con base en datos de candidatos",6
"242","Venezuela",1973,1,12,"Calculo propio con base en datos de candidatos",12
"243","Venezuela",1978,1,10,"Calculo propio con base en datos de candidatos",10
"244","Venezuela",1983,1,12,"Calculo propio con base en datos de candidatos",12
"245","Venezuela",1988,1,23,"Lujan (2020)",NA
"246","Venezuela",1993,1,18,"Lujan (2020)",NA
"247","Venezuela",1998,1,11,"Calculo propio con base en datos de candidatos",12
"248","Venezuela",2000,1,3,"Lujan (2020)",NA
"249","Venezuela",2006,1,14,"Lujan (2020)",NA
"250","Venezuela",2012,1,6,"Lujan (2020)",NA
"251","Venezuela",2013,1,6,"Lujan (2020)",NA
"252","Venezuela",2018,1,4,"Calculo propio con base en datos de candidatos",4
