"","cat_pais","ncat_eleccion","ncat_ronda","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled"
"59","Colombia",1986,1,29,"Base Qof p_durable",29,"Base Qof bmr_demdur",16,"Mainwaring & Su (2021) - age_demo",29,"29"
"60","Colombia",1990,1,33,"Base Qof p_durable",33,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",33,"33"
"61","Colombia",1994,2,37,"Base Qof p_durable",37,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",37,"37"
"62","Colombia",1994,1,37,"Base Qof p_durable",37,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",37,"37"
"63","Colombia",1998,2,41,"Base Qof p_durable",41,"Base Qof bmr_demdur",28,"Mainwaring & Su (2021) - age_demo",41,"41"
"64","Colombia",1998,1,41,"Base Qof p_durable",41,"Base Qof bmr_demdur",28,"Mainwaring & Su (2021) - age_demo",41,"41"
"65","Colombia",2002,1,45,"Base Qof p_durable",45,"Base Qof bmr_demdur",32,"Mainwaring & Su (2021) - age_demo",45,"45"
"66","Colombia",2006,1,49,"Base Qof p_durable",49,"Base Qof bmr_demdur",36,"Mainwaring & Su (2021) - age_demo",49,"49"
"67","Colombia",2010,2,53,"Base Qof p_durable",53,"Base Qof bmr_demdur",40,"Mainwaring & Su (2021) - age_demo",53,"53"
"68","Colombia",2010,1,53,"Base Qof p_durable",53,"Base Qof bmr_demdur",40,"Mainwaring & Su (2021) - age_demo",53,"53"
"69","Colombia",2014,2,57,"Base Qof p_durable",57,"Base Qof bmr_demdur",44,"Mainwaring & Su (2021) - age_demo",57,"57"
"70","Colombia",2014,1,57,"Base Qof p_durable",57,"Base Qof bmr_demdur",44,"Mainwaring & Su (2021) - age_demo",57,"57"
"71","Colombia",2018,2,61,"Base Qof p_durable",61,"Base Qof bmr_demdur",48,"Mainwaring & Su (2021) - age_demo",61,"61"
"72","Colombia",2018,1,61,"Base Qof p_durable",61,"Base Qof bmr_demdur",48,"Mainwaring & Su (2021) - age_demo",61,"61"
"73","Colombia",2022,2,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",65,"65"
"74","Colombia",2022,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",65,"65"
