"","cat_pais","ncat_eleccion","average_confianza_tv","average_confianza_ppols","median_confianza_tv","median_confianza_ppols","sd_confianza_tv","sd_confianza_ppols","dico_confianza_tv_0","dico_confianza_tv_1","dico_confianza_tv_2","dico_confianza_tv_3","dico_confianza_ppols_0","dico_confianza_ppols_1","dico_confianza_ppols_2","dico_confianza_ppols_3","average_dias_tv","median_dias_tv","sd_dias_tv"
"76","Chile",2003,1.37594617325484,0.6458157227388,1,1,0.803481513511536,0.717556478157988,185,431,514,59,584,438,157,4,3.33992805755396,3,0.71722236134389
"77","Chile",2004,1.25511945392491,0.908783783783784,1,1,0.840234648246018,0.782386755515428,239,458,412,63,400,513,250,21,3.09238665526091,3,0.779676698689463
"78","Chile",2005,1.43456375838926,0.824620573355818,1,1,0.832230659124542,0.759480768254557,168,436,490,98,453,499,223,11,3.17182130584192,3,0.762195621743752
"79","Chile",2006,1.73763621123219,0.856175972927242,2,1,0.795794384949515,0.829979094131718,78,341,590,184,476,428,250,28,3.13126709206928,3,0.835512834092034
"80","Chile",2007,1.43305084745763,0.813617021276596,1,1,0.750295964757978,0.789724321500214,129,469,524,58,477,459,220,19,3.18038528896673,3,0.789302174891906
"81","Chile",2008,1.50588235294118,0.769557823129252,2,1,0.785410931280635,0.745226037431869,130,416,556,88,483,491,192,10,NA,NA,NA
"82","Chile",2009,1.60217755443886,0.887478849407783,2,1,0.74606221824597,0.764382107262346,92,388,617,97,407,513,250,12,3.11734253666954,3,0.76180486024237
"83","Chile",2010,1.69757727652464,0.971235194585448,2,1,0.771851666493308,0.747007576197036,91,319,648,139,327,582,253,20,3.02918454935622,3,0.749001468922697
"84","Chile",2011,1.40016849199663,0.799319727891156,1,1,0.793587265083812,0.730280887832814,156,475,481,75,445,532,189,10,3.19931565440547,3,0.731249313618414
"85","Chile",2013,1.40962837837838,0.709153122326775,1,1,0.841812156151157,0.748921634335626,182,429,479,94,533,457,165,14,NA,NA,NA
"86","Chile",2015,1.51651143099069,0.820338983050847,2,1,0.781636715594804,0.763852487661403,111,451,517,102,448,517,194,21,NA,NA,NA
"87","Chile",2016,NA,0.548717948717949,NA,0,NA,0.737440071319642,0,0,0,0,684,347,122,17,NA,NA,NA
"88","Chile",2017,NA,0.605442176870748,NA,0,NA,0.757894715681469,0,0,0,0,645,366,149,16,NA,NA,NA
"89","Chile",2018,NA,0.652863436123348,NA,1,NA,0.735367665203593,0,0,0,0,565,406,157,7,NA,NA,NA
"90","Chile",2020,1.05617021276596,0.450764006791171,1,0,0.826670404317413,0.673345110918262,334,477,328,36,760,313,97,8,NA,NA,NA
